state,county_fips,county_name,dem_votes,rep_votes,two_party,lean_dem,early_inperson,early_mail,election_day,early_share
NC,37119,MECKLENBURG,962031,492212,1454243,0.6615,977841,196027,322941,0.7823
NC,37121,MITCHELL,5190,18603,23793,0.2181,16604,1587,6017,0.748
NC,37123,MONTGOMERY,11091,22601,33692,0.3292,20552,1643,12241,0.6422
NC,37125,MOORE,55668,102189,157857,0.3526,98713,18080,44751,0.7211
NC,37127,NASH,67383,69946,137329,0.4907,98908,7829,32718,0.7618
NC,37129,NEW HANOVER,177301,174376,351677,0.5042,235842,40604,85059,0.7614
NC,37131,NORTHAMPTON,14962,10587,25549,0.5856,16132,1341,8484,0.672
NC,37133,ONSLOW,62572,126934,189506,0.3302,127458,15349,51906,0.7253
NC,37135,ORANGE,177783,55881,233664,0.7608,160550,36709,41375,0.8257
NC,37137,PAMLICO,7448,13726,21174,0.3518,14019,1604,6012,0.72
NC,37139,PASQUOTANK,25438,27332,52770,0.4821,36848,3647,13311,0.7478
NC,37141,PENDER,31280,62168,93448,0.3347,68728,6467,20508,0.7817
NC,37143,PERQUIMANS,6208,13908,20116,0.3086,13696,987,5840,0.7142
NC,37145,PERSON,22675,34902,57577,0.3938,40087,3470,15334,0.7376
NC,37147,PITT,118899,104510,223409,0.5322,157984,15856,53124,0.7589
NC,37149,POLK,12898,21187,34085,0.3784,22647,3638,8523,0.7538
NC,37151,RANDOLPH,41237,150744,191981,0.2148,134775,11810,49794,0.7444
NC,37153,RICHMOND,21313,30250,51563,0.4133,34002,2420,16258,0.6885
NC,37155,ROBESON,46449,70413,116862,0.3975,71602,4974,41584,0.6412
NC,37157,ROCKINGHAM,41975,84035,126010,0.3331,89402,6769,32812,0.7428
NC,37159,ROWAN,60685,130019,190704,0.3182,124492,14800,56604,0.7094
NC,37161,RUTHERFORD,23588,66382,89970,0.2622,56447,6313,29019,0.6809
NC,37163,SAMPSON,26660,46273,72933,0.3655,48888,3505,21856,0.7038
NC,37165,SCOTLAND,17963,19755,37718,0.4762,26914,2316,9149,0.7571
NC,37167,STANLY,22089,69336,91425,0.2416,62464,5210,25806,0.7206
NC,37169,STOKES,14794,54062,68856,0.2149,43374,3915,23344,0.6674
NC,37171,SURRY,23708,72343,96051,0.2468,64336,7491,26292,0.7291
NC,37173,SWAIN,7047,11041,18088,0.3896,12449,1099,5169,0.7207
NC,37175,TRANSYLVANIA,23997,31533,55530,0.4321,38274,5871,12859,0.7724
NC,37177,TYRRELL,1939,2772,4711,0.4116,2885,128,1798,0.625
NC,37179,UNION,127618,222798,350416,0.3642,246715,30087,81010,0.7704
NC,37181,VANCE,30636,22110,52746,0.5808,37974,3533,12305,0.7704
NC,37183,WAKE,1052069,629941,1682010,0.6255,1053275,256535,416712,0.7554
NC,37185,WARREN,16653,10249,26902,0.619,17537,1900,7945,0.7079
NC,37187,WASHINGTON,8469,7348,15817,0.5354,10379,937,4813,0.7001
NC,37189,WATAUGA,45095,39925,85020,0.5304,60960,7778,18214,0.7833
NC,37191,WAYNE,60136,81477,141613,0.4247,103510,9747,31194,0.7809
NC,37193,WILKES,20038,73594,93632,0.214,52461,6496,36688,0.6145
NC,37195,WILSON,52857,51702,104559,0.5055,72264,6726,27487,0.7403
NC,37197,YADKIN,10175,42354,52529,0.1937,28815,3198,21901,0.5924
NC,37199,YANCEY,10408,20254,30662,0.3394,21224,2581,7511,0.7571
